模型名,API id,输入($/M),输出($/M),缓存读($/M),缓存写($/M),峰值输入,峰值输出,峰值缓存读,谷值输入,谷值输出,谷值缓存读,峰谷时段
Claude Fable 5,claude-fable-5,10.0,50.0,1.0,12.5,,,,,,,
Claude Fable 5.1,claude-fable-5-1,10.0,50.0,0.25,12.5,,,,,,,
Claude Haiku 4.5,claude-haiku-4-5,1.0,5.0,0.1,1.25,,,,,,,
Claude Opus 4.6,claude-opus-4-6,5.0,25.0,0.5,6.25,,,,,,,
Claude Opus 4.7,claude-opus-4-7,5.0,25.0,0.5,6.25,,,,,,,
Claude Opus 4.8,claude-opus-4-8,5.0,25.0,0.5,6.25,,,,,,,
Claude Opus 5,claude-opus-5,5.0,25.0,0.5,6.25,,,,,,,
Claude Sonnet 4.6,claude-sonnet-4-6,3.0,15.0,0.3,3.75,,,,,,,
Claude Sonnet 5,claude-sonnet-5,2.0,10.0,0.2,2.5,,,,,,,
DeepSeek V4 Flash (latest),deepseek-v4-flash,0.15,0.6,0.003,,0.3,1.2,0.006,0.15,0.6,0.003,有(01-04/06-10 UTC 峰值)
DeepSeek V4 Flash Fast,deepseek-v4-flash-fast,0.28,0.56,0.07,,,,,,,,
DeepSeek V4 Flash Vision (exp),deepseek-v4-flash-vision-exp,0.15,0.6,0.003,,0.3,1.2,0.006,0.15,0.6,0.003,有(01-04/06-10 UTC 峰值)
DeepSeek V4 Pro (latest),deepseek-v4-pro,0.66,1.98,0.022,,1.32,3.96,0.044,0.66,1.98,0.022,有(01-04/06-10 UTC 峰值)
DeepSeek V4.1 Flash,deepseek-v4.1-flash,0.15,0.6,0.003,,0.3,1.2,0.006,0.15,0.6,0.003,有(01-04/06-10 UTC 峰值)
Fugu Ultra,fugu-ultra,5.0,30.0,0.5,,,,,,,,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,0.25,1.5,0.03,,,,,,,,
Gemini 3.5 Flash,gemini-3.5-flash,1.5,9.0,0.15,,,,,,,,
Gemini 3.5 Flash Lite,gemini-3.5-flash-lite,0.3,2.5,0.03,,,,,,,,
Gemini 3.6 Flash,gemini-3.6-flash,1.5,7.5,0.15,,,,,,,,
Gemini 3.7 Flash,gemini-3.7-flash,1.5,7.5,0.15,0.08334,,,,,,,
Gemini 3.8 Flash,gemini-3.8-flash,1.5,7.5,0.15,,,,,,,,
GLM-5,glm-5,1.0,3.2,0.2,,,,,,,,
GLM-5.1,glm-5.1,1.4,4.4,0.26,,,,,,,,
GLM-5.2,glm-5.2,1.4,4.4,0.26,,,,,,,,
GLM-5.2 Fast,glm-5.2-fast,3.0,10.25,0.5,,,,,,,,
GLM-5.3,glm-5.3,1.4,4.4,0.26,,,,,,,,
GLM-5.3 Flash,glm-5.3-flash,0.15,0.5,0.03,,,,,,,,
GPT-5.3 Codex,gpt-5.3-codex,2.0,8.0,0.5,,,,,,,,
GPT-5.4,gpt-5.4,2.5,15.0,0.25,,,,,,,,
GPT-5.4 Mini,gpt-5.4-mini,0.75,4.5,0.075,,,,,,,,
GPT-5.5,gpt-5.5,5.0,30.0,0.5,,,,,,,,
GPT-5.6 Luna,gpt-5.6-luna,0.2,1.2,0.02,,,,,,,,
GPT-5.6 Sol,gpt-5.6-sol,5.0,30.0,0.5,,,,,,,,
GPT-5.6 Terra,gpt-5.6-terra,2.0,12.0,0.2,,,,,,,,
GPT-6 Astra,gpt-6-astra,10.0,50.0,1.0,,,,,,,,
Grok 4.5,grok-4.5,2.0,6.0,0.5,,,,,,,,
Grok 4.6,grok-4.6,2.0,6.0,0.5,,,,,,,,
Inkling,inkling,1.0,4.05,0.17,,,,,,,,
Inkling Small,inkling-small,0.5,1.2,0.1,,,,,,,,
Kimi K2.5,kimi-k2.5,0.6,3.0,0.1,,,,,,,,
Kimi K2.6,kimi-k2.6,0.95,4.0,0.16,,,,,,,,
Kimi K2.7 Code,kimi-k2.7-code,0.95,4.0,0.19,,,,,,,,
Kimi K2.7 Code HighSpeed,kimi-k2.7-code-highspeed,1.9,8.0,0.38,,,,,,,,
Kimi K3,kimi-k3,3.0,15.0,0.3,,,,,,,,
MiMo V2.5,mimo-v2.5,0.14,0.28,0.0028,,,,,,,,
MiMo V2.5 Pro,mimo-v2.5-pro,0.435,0.87,0.0036,,,,,,,,
MiniMax M2.5,minimax-m2.5,0.3,1.2,0.03,,,,,,,,
MiniMax M2.7,minimax-m2.7,0.3,1.2,0.06,,,,,,,,
MiniMax M3,minimax-m3,0.3,1.2,0.06,,,,,,,,
Muse Spark 1.1,muse-spark-1.1,1.25,4.25,0.15,,,,,,,,
Muse Spark 1.2,muse-spark-1.2,1.25,4.25,0.15,,,,,,,,
Muse Spark 1.2 Contributor,muse-spark-1.2-contributor,0.1,0.2,0.002,,,,,,,,
Muse Spark 1.3,muse-spark-1.3,1.25,4.25,0.15,,,,,,,,
